"","X4","X16","X20","X28","X40","X48"
"Otu634",4.39966562541247e-05,0.00012577561630052,4.155239757334e-05,0.000128628392573854,0.000132849171906828,4.06371911573472e-05
"Otu12",0.0217408972691808,0.0110871573760394,0.0176085862820728,0.0179506357516829,0.0175363375209021,0.0228057745106722
"Otu1",0.247232308918608,0.361914824447334,0.290377931277223,0.254360221365085,0.315216487991357,0.333533421944004
"Otu2",0.161514384941903,0.167478522717208,0.116384915474642,0.101236306040741,0.0992788864665437,0.111859054267431
"Otu5506",0.00024931438544004,0.00115765553316469,0.000398547515720485,0.000690832249674902,0.000439966562541247,0.000628878081502599
"Otu2559",0.00222203588797585,0.00141278151749356,0.00274407237490889,0.0029669648392525,0.00211313394018205,0.00197984953143561
"Otu495",0.00545558537551146,0.00448599698138521,0.0045707637330674,0.0032585859452043,0.00513683464706403,0.00471391417425228
"Otu10",0.0258858907672302,0.0421927933477056,0.0303119235284253,0.0199035984376299,0.0177507181751919,0.0285182889026658
"Otu112",0.0177575059782127,0.019668400520156,0.017642659157904,0.0134579909441556,0.0173689021856561,0.0139347425288342
"Otu34",0.0030870814217725,0.00172703923478877,0.00394180754226268,0.00351973250032997,0.00163508301190676,0.00349040139616056
"Otu261",0.00195296268594698,0.00145778844917035,0.00212558675050926,0.00422626788036411,0.00404769237537947,0.00176085862820728
"Otu2532",0.00800771423779977,0.00930773705642816,0.00904686361102774,0.00602249579310956,0.00455136540962289,0.00884332790707906
"Otu1512",0.00950327775089093,0.0178601375146738,0.0132136624283221,0.0107619088453458,0.0145248427951466,0.0119066970091027
"Otu2288",0.00109720416124837,0.00162787628140261,0.00171893342277377,0.00128812432477354,0.00145778844917035,0.00137277477637056
"Otu1264",8.85661146045523e-05,4.06371911573472e-05,4.39966562541247e-05,4.19252054335066e-05,4.155239757334e-05,4.28761308579514e-05
"Otu7",0.020280409895811,0.0397219024001417,0.0304372561768531,0.028597826565181,0.0304376991447258,0.0329510512756586
"Otu86",0.00340729660101388,0.00218668267375552,0.0038969090426003,0.00670513654096229,0.00607153856306921,0.00280898876404494
"Otu14",0.0199983229917827,0.02052688440123,0.0184367362689191,0.0149233903108671,0.0139791937581274,0.0235822077522108
"Otu23",0.0296977429715342,0.0242327687405668,0.0258455912906175,0.0215666938215495,0.0276769108139226,0.0296651495448635
"Otu60",0.00516092327698309,0.00206784284394386,0.00482139862485326,0.00585888805784094,0.00428761308579514,0.00681959082455053
"Otu1071",0.000221415286511381,0,8.79933125082494e-05,0.000335401643468053,0.00012465719272002,0.000257256785147708
"Otu1529",0.000214380654289757,0.000177132229209105,0.000121911573472042,0.000351973250032998,0.00025155123260104,0.0002077619878667
"Otu206",0.00157899110778692,0.000857522617159028,0.00208130369320698,0.00264141742522757,0.00197984953143561,0.00167700821734026
"Otu448",0.0163089049136341,0.00386437297432062,0.00180079749603396,0.00354264458418209,0.00381989596879064,0.0030357692815346
"Otu2655",0.000219983281270623,8.38504108670133e-05,4.155239757334e-05,4.28761308579514e-05,4.42830573022761e-05,0.000203185955786736
"Otu199",0.00121911573472042,0.000879933125082494,0.00117390575213819,0.00274245823984044,0.00282982463662479,0.00123992560446373
"Otu52",0.00261270038083429,0.00174739921976593,0.0028597826565181,0.00452792218681872,0.00315798221557384,0.00235818719718733
"Otu35",0.0187368691849248,0.0183774687804446,0.0176365409622887,0.0135949667825245,0.0156800268321315,0.0177844261613895
"Otu32",0.0260118008809108,0.0227243493547142,0.0244442476308564,0.0168237971391417,0.021162391658234,0.0275448599698139
