OTU.ID,copy number
Otu300,2.260037224
Otu301,2.28050171
Otu302,2
Otu303,3.976836671
Otu304,1
Otu305,2.219999885
Otu306,1.969796454
Otu307,1
Otu308,1
Otu309,1.479946722
Otu310,2.5
Otu311,1
Otu312,2.279635258
Otu313,3.089598352
Otu314,2.059732235
Otu315,1.479998259
Otu316,2.219999885
Otu317,1.3500135
Otu318,1
Otu319,8
Otu320,1
Otu321,4
Otu322,2.5
Otu323,2
Otu324,10.6284658
Otu325,2.680009202
Otu326,1.479956245
Otu327,2.99850075
Otu328,1.480019734
Otu329,2
Otu330,2.669952762
Otu331,2.219999885
Otu332,6.976744186
Otu333,2.219999885
Otu334,1
Otu335,2.219999885
Otu336,2.670023267
Otu337,4
Otu338,1.479999452
Otu339,3.349953256
Otu340,2
Otu341,1
Otu342,3.831417625
Otu343,2.28050171
Otu344,1
Otu345,3.349953256
Otu346,3.349953256
Otu347,1.909988432
Otu348,1
Otu349,2.219999885
Otu350,2.010050251
Otu351,2.010050251
Otu352,1.839989096
Otu353,2
Otu354,2.219999885
Otu355,1
Otu356,2.219999885
Otu358,1.480011144
Otu359,3.349953256
Otu360,3.349953256
Otu361,1.479946722
Otu362,2.260037224
Otu363,5.291005291
Otu365,4.009964153
Otu366,3.076923077
Otu367,1.479999452
Otu368,2.219999885
Otu369,1.25
Otu370,2.28050171
Otu371,4
Otu372,1
Otu373,2.219999885
Otu374,6.993006993
Otu375,2.260037224
Otu376,1.12
Otu377,3.444316877
Otu378,2.670012224
Otu379,2.280010842
Otu380,1.670046523
Otu381,2.399880006
Otu382,1
Otu383,2.980181791
Otu384,1.480002753
Otu385,4.009964153
Otu386,1.480011144
Otu388,1.499250375
Otu389,1
Otu390,2.219999885
Otu391,2.280010842
Otu392,3.349953256
Otu393,2
Otu394,1.480019734
Otu396,1.479999452
Otu397,2.219999885
Otu398,1
Otu399,2.670012224
Otu400,1
Otu401,1.670046523
Otu402,1
Otu403,2.219999885
Otu404,2
Otu405,2.219999885
Otu406,1.839989096
Otu408,1.479986546
Otu409,1.809997482
Otu410,2.670012224
Otu411,1.480002753
Otu412,2
Otu413,1.479999452
Otu414,2.219999885
Otu415,3.831417625
Otu416,2.5
Otu417,1.669982072
Otu418,1
Otu419,2.219999885
Otu420,1.2300123
Otu421,2
Otu422,2
Otu423,2
Otu424,1
Otu425,2.219999885
Otu426,3.670473083
Otu427,1.841620626
Otu428,2.859933036
