,resT0,resT1,resT2,resT3,bareT0,bareT1,bareT2,bareT3,trancom,resT0,Genus0,resT1,Genus1,resT2,Genus2,resT3,Genus3,bareT0,Genus4,bareT1,Genus5,bareT2,Genus6,bareT3,Genus7,,,,OTUID,Genus,OTUID,Genus,OTUID,Genus,OTUID,Genus
16,,,,,,,,,trancom,Otu1981,Unrecognized,Otu1620,Unrecognized,Otu1983,Unrecognized,Otu3119,Actinoplanes,Otu2475,Unrecognized,Otu3119,Actinoplanes,Otu685,Unrecognized,Otu968,Chthoniobacter,,,,Otu2475,Unrecognized,Otu3119,Actinoplanes,Otu685,Unrecognized,Otu968,Chthoniobacter
17,,,,,,,,,trancom,Otu2087,Unrecognized,Otu1173,Unrecognized,Otu3422,Unrecognized,Otu3819,Unrecognized,Otu1615,Unrecognized,Otu2979,Haliangium,Otu767,Unrecognized,Otu1288,Ferruginibacter,,,,Otu1615,Unrecognized,Otu2979,Haliangium,Otu767,Unrecognized,Otu1288,Ferruginibacter
18,,,,,,,,,trancom,Otu2339,Unrecognized,Otu118,Unrecognized,Otu3560,Unrecognized,Otu7063,Nakamurella,Otu7063,Nakamurella,Otu2691,Unrecognized,Otu5,Unrecognized,Otu546,Hymenobacter,,,,Otu7063,Nakamurella,Otu2691,Unrecognized,Otu5,Unrecognized,Otu546,Hymenobacter
19,,,,,,,,,trancom,Otu1356,Unrecognized,Otu2529,Unrecognized,Otu1045,Unrecognized,Otu1476,Unrecognized,Otu84,Unrecognized,Otu1629,Unrecognized,Otu550,Unrecognized,Otu1177,Gaiella,,,,Otu84,Unrecognized,Otu1629,Unrecognized,Otu550,Unrecognized,Otu1177,Gaiella
20,,,,,,,,,trancom,Otu2120,Unrecognized,Otu1577,Unrecognized,Otu4415,Unrecognized,Otu6544,Unrecognized,Otu4879,Paenibacillus,Otu2477,Aquicella,Otu116,Unrecognized,Otu1300,Unrecognized,,,,Otu4879,Paenibacillus,Otu2477,Aquicella,Otu116,Unrecognized,Otu1300,Unrecognized
21,,,,,,,,,trancom,Otu1658,Nocardioides,Otu4299,Unrecognized,Otu5226,OM27 clade,Otu587,RB41,Otu4216,Gemmatimonas,Otu547,Unrecognized,Otu2908,Unrecognized,Otu2317,Unrecognized,,,,Otu4216,Gemmatimonas,Otu547,Unrecognized,Otu2908,Unrecognized,Otu2317,Unrecognized
22,,,,,,,,,trancom,Otu883,Unrecognized,Otu1004,Unrecognized,Otu6984,Unrecognized,Otu2273,Unrecognized,Otu2147,Unrecognized,Otu1632,Unrecognized,Otu658,Unrecognized,Otu1121,Unrecognized,,,,Otu2147,Unrecognized,Otu1632,Unrecognized,Otu658,Unrecognized,Otu1121,Unrecognized
23,,,,,,,,,trancom,Otu1203,Unrecognized,Otu3679,Unrecognized,Otu1039,Unrecognized,Otu1016,Unrecognized,Otu1744,Unrecognized,Otu1667,Bryobacter,Otu1629,Unrecognized,Otu510,Chitinophaga,,,,Otu1744,Unrecognized,Otu1667,Bryobacter,Otu1629,Unrecognized,Otu510,Chitinophaga
24,,,,,,,,,trancom,Otu2252,Unrecognized,Otu3225,Longispora,Otu2158,Unrecognized,Otu3827,Hymenobacter,Otu1018,Unrecognized,Otu3752,Unrecognized,Otu332,Pseudoduganella,Otu799,BIyi10,,,,Otu1018,Unrecognized,Otu3752,Unrecognized,Otu332,Pseudoduganella,Otu799,BIyi10
25,,,,,,,,,trancom,Otu2348,Unrecognized,Otu3739,Unrecognized,Otu965,Domibacillus,Otu867,Unrecognized,Otu1810,Unrecognized,Otu1403,Acidibacter,Otu338,Unrecognized,Otu3524,Conexibacter,,,,Otu1810,Unrecognized,Otu1403,Acidibacter,Otu338,Unrecognized,Otu3524,Conexibacter
